No,Daerah,Level,SD,SMP,SMA,SMK
534,Kab. Manokwari Selatan,Kabupaten/Kota,23,5,4,0
535,Kota Sorong,Kabupaten/Kota,128,15,17,31
536,Provinsi Sulawesi Barat,Provinsi,402,166,82,356
537,Kab. Mamuju,Kabupaten/Kota,104,32,12,7
538,Kab. Pasangkayu,Kabupaten/Kota,59,40,4,30
539,Kab. Polewali Mandar,Kabupaten/Kota,98,57,6,14
540,Kab. Mamasa,Kabupaten/Kota,40,19,20,186
541,Kab. Majene,Kabupaten/Kota,42,12,40,106
542,Kab. Mamuju Tengah,Kabupaten/Kota,59,6,0,13
543,Provinsi Kalimantan Utara,Provinsi,162,39,16,16
544,Kab. Malinau,Kabupaten/Kota,32,13,6,0
545,Kab. Bulungan,Kabupaten/Kota,30,2,2,2
546,Kab. Tana Tidung,Kabupaten/Kota,6,0,0,1
547,Kab. Nunukan,Kabupaten/Kota,70,18,6,8
548,Kota Tarakan,Kabupaten/Kota,24,6,2,5
